source;titulo;autores;año;venue;relevance_score;abstract
Scopus;Still just personal assistants? – A multiple case study of generative AI adoptio;Kemell, Kai Kristian and Saarikallio, Matti and Nguyen-Duc, ;2025;Information and Software Technology;95;Context: Generative AI (GenAI) is argued to transform software engineering (SE) in various ways, and GenAI tools show promise for various SE tasks. Software organizations across the globe are currentl
Scopus;Navigating the Complexity of Generative AI Adoption in Software Engineering;Russo, Daniel;2024;ACM Transactions on Software Engineering and Metho;90;This article explores the adoption of Generative Artificial Intelligence (AI) tools within the domain of software engineering, focusing on the influencing factors at the individual, technological, and
Scopus;AI-Augmented Software Engineering: Revolutionizing or Challenging Software Quali;Ramos, Tafline and Dean, Amanda and McGregor, David;2025;Journal of Software: Evolution and Process;85;With organizations seeking faster, cheaper, and smarter ways of delivering higher quality software, many are looking towards generative artificial intelligence (AI) to drive efficiencies and innovatio
Scopus;Copiloting the future: How generative AI transforms Software Engineering;Banh, Leonardo and Holldack, Florian and Strobel, Gero;2025;Information and Software Technology;75;Context: With rapid technological advancements, artificial intelligence (AI) has become integral to various sectors. Generative AI (GenAI) tools like ChatGPT or GitHub Copilot, with their unique conte
IEEE;Exploring the Integration of Generative AI Tools in Software Testing Education: ;Haldar, Susmita and Pierce, Mary and Fernando Capretz, Luiz;2025;IEEE Access;70;Software testing education is important for building qualified testing professionals. To ensure that software testing graduates are ready for real-world challenges, it is necessary to integrate modern
Scopus;Rich Data Versus Quantity of Data in Code Generation AI: A Paradigm Shift for He;Ramachandran, Muthu and Fouracre, Steven;2025;Blockchain in Healthcare Today;70;In the context of Code Generation AI (Code Gen AI), “rich” and “quality” data refer to datasets that are not only syntactically and structurally sound but also context-aware, domain-specific, and sema
Scopus;LLMs: A game-changer for software engineers?;Haque, Md Asraful;2025;BenchCouncil Transactions on Benchmarks, Standards;70;Large Language Models (LLMs) like GPT-3 and GPT-4 have emerged as groundbreaking innovations with capabilities that extend far beyond traditional AI applications. These sophisticated models, trained o
Scopus;Enabling efficient and low-effort decentralized federated learning with the Edge;Zhang, Hongyi and Bosch, Jan and Olsson, Helena Holmström;2025;Information and Software Technology;65;Context: Federated Learning (FL) has gained prominence as a solution for preserving data privacy in machine learning applications. However, existing FL frameworks pose challenges for software engineer
Scopus;Redefining the Programmer: Human-AI Collaboration, LLMs, and Security in Modern ;De La Cruz, Elyson and Le, Hanh and Meduri, Karthik and Nade;2025;Computers, Materials and Continua;65;The rapid integration of artificial intelligence (AI) into software development, driven by large language models (LLMs), is reshaping the role of programmers from traditional coders into strategic col
Scopus;Continuous Software Engineering Practices in AI/ML Development Past the Narrow L;Vänskä, Sini and Kemell, Kai Kristian and Mikkonen, Tommi an;2024;E-Informatica Software Engineering Journal;65;Background: Continuous software engineering practices are currently considered state of the art in software engineering (SE). Recently, this interest in continuous SE has extended to ML system develop
Scopus;Securing social network user data in large language model deployments: challenge;Jalali, Nasir Ahmad and Hongsong, Chen;2025;Cluster Computing;60;AI technology’s rapid advancements have led to its widespread adoption in diverse industries, such as support agents, healthcare, education, software development and finance because such AI technologi
Scopus;AI-Driven Software Test Automation: An AI4SE-Oriented Survey of Techniques, Tool;Faraji, Aazaade and Pombo, Nuno;2025;IEEE Access;60;The growing complexity of software systems and the need for more rapid, high-quality software releases have created the need for intelligent and automated testing mechanisms. Drawing on AI-driven test
Scopus;CODING WITH AI AS AN ASSISTANT: CAN AI GENERATE CONCISE COMPUTER CODE?;Millam, Andrew and Bakke, Christine;2024;Journal of Information Technology Education: Innov;60;Aim/Purpose This paper is part of a multi-case study that aims to test whether generative AI makes an effective coding assistant. Particularly, this work evaluates the ability of two AI chatbots (Chat
IEEE;VSEST 29110 Tool: Using ChatGPT to Evaluate the Implementation of the ISO/IEC 29;Mejía, Jezreel and Terrón-Macias, Victor and Muñoz, Mirna an;2024;IEEE Access;55;The global software industry is predominantly composed of micro, small, and medium-sized enterprises (MSMEs), highlighting the need for software quality management to ensure the proper functioning and
Scopus;Managing expectations towards AI tools for software development: a multiple-case;Jensen, Victor Vadmand and Alami, Adam and Bruun, Anders Rys;2025;Information Systems and e-Business Management;55;Software development organizations (SDOs) are increasingly working to adopt artificial intelligence (AI) tools, like GitHub Copilot, to meet varied expectations. Nevertheless, we know little about how
Scopus;Fairness-aware machine learning engineering: how far are we?;Ferrara, Carmine and Sellitto, Giulia and Ferrucci, Filomena;2024;Empirical Software Engineering;55;Machine learning is part of the daily life of people and companies worldwide. Unfortunately, bias in machine learning algorithms risks unfairly influencing the decision-making process and reiterating 
IEEE;2024 IEEE/ACM 46th International Conference on Software Engineering (ICSE);Dolata, Mateusz and Lange, Norbert and Schwabe, Gerhard;2024;2024 IEEE/ACM 46th International Conference on Sof;50;The rise of generative AI has led many companies to hire freelanc-ers to harness its potential. However, this technology presents unique challenges to developers who have not previously engaged with i
IEEE;2024 IEEE/ACM International Workshop on Natural Language-Based Software Engineer;Shome, Arumoy and Cruz, Luìs and Van Deursen, Arie;2024;2024 IEEE/ACM International Workshop on Natural La;50;We present our vision for developing an automated tool capable of translating visual properties observed in Machine Learning (ML) visualisations into Python assertions. The tool aims to streamline the
Scopus;Cloud-based machine learning for scalable classification of software requirement;Ali, Hashim and Tanveer, Umer and Saeed, Amir and Khalid Alk;2025;Systems and Soft Computing;50;Software requirement classification (SRC) is a critical yet challenging task in large-scale software development, where manual classification is time-consuming, error-prone, and unscalable, consuming 
Scopus;Integrating Generative AI for Advancing Agile Software Development and Mitigatin;Bahi, Anas and Gharib, Jihane and Gahi, Youssef;2024;International Journal of Advanced Computer Science;50;Agile software development emphasizes iterative progress, adaptability, and stakeholder collaboration. It champions flexible planning, continuous improvement, and rapid delivery, aiming to respond swi
Scopus;Machine learning application development: practitioners’ insights;Rahman, Md Saidur and Khomh, Foutse and Hamidi, Alaleh and C;2023;Software Quality Journal;50;Nowadays, intelligent systems and services are getting increasingly popular as they provide data-driven solutions to diverse real-world problems, thanks to recent breakthroughs in artificial intellige
Scopus;Combining low-code development with ChatGPT to novel no-code approaches: A focus;Martins, José Luís Bandeira and Branco, Frederico Augusto an;2023;Intelligent Systems with Applications;50;Low-code tools are a trend in software development for business solutions due to their agility and ease of use. There are a certain number of vendors with such solutions. Still, in most Western countr
IEEE;Preconditions and Postconditions as Design Constraints for LLM Code Generation;Newcomb, Luke and Newcomb, Alexandra and Ochoa, Omar;2025;IEEE Access;45;Large Language Models (LLMs) have significantly advanced automated code generation, but current methods predominantly rely on natural language descriptions during prompting. This approach encounters c
IEEE;2024 IEEE/ACM 46th International Conference on Software Engineering: New Ideas a;Mishra, Shyamal and Chatterjee, Preetha;2024;2024 IEEE/ACM 46th International Conference on Sof;45;Fostering a collaborative and inclusive environment is crucial for the sustained progress of open source development. However, the prevalence of negative discourse, often manifested as toxic comments,
Scopus;Training-free, Identity-preserving Image Editing for Fashion Pose Alignment and ;Aghilar, Potito and Anelli, Vito Walter and Trizio, Michelan;2025;Expert Systems with Applications;45;Diffusion models have recently unlocked new possibilities in editing images of real-world objects. Yet, transforming objects in non-rigid ways, such as modifying poses or applying image-based conditio
Scopus;“Your AI is impressive, but my code does not have any bugs” managing false posit;Stradowski, Szymon and Madeyski, Lech;2025;Science of Computer Programming;45;Context: “Your AI is impressive, but my code does not contain any bugs”— such a statement from a software developer is the antithesis of a quality mindset and open communication. What makes it worse i
Scopus;Accountability in Code Review: The Role of Intrinsic Drivers and the Impact of L;Alami, Adam and Jensen, Victor Vadmand and Ernst, Neil A.;2025;ACM Transactions on Software Engineering and Metho;45;Accountability is an innate part of social systems. It maintains stability and ensures positive pressure on individuals’ decision-making. As actors in a social system, software developers are accounta
Scopus;RAGVA: Engineering retrieval augmented generation-based virtual assistants in pr;Yang, Rui and Fu, Michael and Tantithamthavorn, Kla (kla) an;2025;Journal of Systems and Software;45;Retrieval-augmented generation (RAG)-based applications are gaining prominence due to their ability to leverage large language models (LLMs). These systems excel at combining retrieval mechanisms with
Scopus;Using artificial intelligence in software development processes: Achievements an;Kozub, Vladyslav and Druzhynin, Valentyn and Trufanova, Dian;2025;Sustainable Engineering and Innovation;45;This study consolidates contemporary methodologies for applying artificial intelligence in software engineering. Using the PRISMA protocol, an analysis of 60 peer-reviewed publications was conducted. 
Scopus;A multivocal literature review on the benefits and limitations of industry-leadi;Quaranta, Luigi and Azevedo, Kelly and Calefato, Fabio and K;2025;Information and Software Technology;45;Context: Rapid advancements in Artificial Intelligence (AI) and Machine Learning (ML) are revolutionizing software engineering in every application domain, driving unprecedented transformations and fo
Scopus;An operational guide to translational clinical machine learning in academic medi;Poddar, Mukund and Marwaha, Jayson S. and Yuan, William and ;2024;npj Digital Medicine;45;Few published data science tools are ever translated from academia to real-world clinical settings for which they were intended. One dimension of this problem is the software engineering task of turni
Scopus;CausalOps — Towards an industrial lifecycle for causal probabilistic graphical m;Maier, Robert and Schlattl, Andreas and Guess, Thomas and Mo;2024;Information and Software Technology;45;Context: Causal probabilistic graph-based models have gained widespread utility, enabling the modeling of cause-and-effect relationships across diverse domains. With their rising adoption in new areas
Scopus;Chatbot Design and Implementation: Towards an Operational Model for Chatbots;Skuridin, Alexander and Wynn, Martin George;2024;Information (Switzerland);45;The recent past has witnessed a growing interest in technologies for creating chatbots. Advances in Large Language Models for natural language processing are underpinning rapid progress in chatbot dev
IEEE;2024 IEEE/ACM 46th International Conference on Software Engineering (ICSE);Serafini, Raphael and Otto, Clemens and Horstmann, Stefan Al;2024;2024 IEEE/ACM 46th International Conference on Sof;40;To ensure the validity of software engineering and IT security studies with professional programmers, it is essential to identify participants without programming skills. Existing screening questions 
IEEE;Test Suite Optimization Using Machine Learning Techniques: A Comprehensive Study;Mehmood, Abid and Ilyas, Qazi Mudassar and Ahmad, Muneer and;2024;IEEE Access;40;Software testing is an essential yet costly phase of the software development lifecycle. While machine learning-based test suite optimization techniques have shown promise in reducing testing costs an
Scopus;AI-Driven Optimization of Functional Feature Placement in Automotive CAD;Kelmendi, Ardian and Pappas, George;2025;Algorithms;40;The automotive industry increasingly relies on 3D modeling technologies to design and manufacture vehicle components with high precision. One critical challenge is optimizing the placement of latches 
Scopus;Emergence of Player Tactics by expert-guided Machine Learning: An industry tower;Anderson, Stuart and Falconer, Ruth E.;2025;Entertainment Computing;40;Modern games generate a large amount of player data that can enhance the game design and development process. Game developers can potentially utilise data science methods to extract information to inf
Scopus;The Role of Artificial Intelligence in Computer Science Education: A Systematic ;Gaitantzi, Alkmini and Kazanidis, Ioannis K.;2025;Applied Sciences (Switzerland);40;The integration of artificial intelligence (AI) into computer science (CS) education is evolving, yet its specific application in database instruction remains underexplored. This systematic review ana
Scopus;Challenges and practices of deep learning model reengineering: A case study on c;Jiang, Wenxin and Banna, Vishnu and Vivek, Naveen and Goel, ;2024;Empirical Software Engineering;40;Context: Many engineering organizations are reimplementing and extending deep neural networks from the research community. We describe this process as deep learning model reengineering. Deep learning 
Scopus;Autonomous Vehicles: Evolution of Artificial Intelligence and the Current Indust;Garikapati, Divya and Shetiya, Sneha Sudhir;2024;Big Data and Cognitive Computing;40;The advent of autonomous vehicles has heralded a transformative era in transportation, reshaping the landscape of mobility through cutting-edge technologies. Central to this evolution is the integrati
Scopus;Standards relevant to automated driving system safety: A systematic assessment;Ballingall, Stuart and Sarvi, Majid and Sweatman, Peter F.;2023;Transportation Engineering;40;Automated Driving Systems (ADSs) in road vehicles, which can undertake the dynamic driving task without requiring a human driver, are on the verge of large-scale deployment. Assurance frameworks for v
IEEE;Cypress Copilot: Development of an AI Assistant for Boosting Productivity and Tr;Nettur, Suresh Babu and Karpurapu, Shanthi and Nettur, Unnat;2025;IEEE Access;35;In today’s fast-paced software development environment, Agile methodologies demand rapid delivery and continuous improvement, making automated testing essential for maintaining quality and acceleratin
IEEE;Requirements Engineering in Machine Learning Projects;Gjorgjevikj, Ana and Mishev, Kostadin and Antovski, Ljupcho ;2023;IEEE Access;35;Over the last decade, machine learning methods have revolutionized a large number of domains and provided solutions to many problems that people could hardly solve in the past. The availability of lar
IEEE;Software-Engineering Design Patterns for Machine Learning Applications;Washizaki, Hironori and Khomh, Foutse and Guéhéneuc, Yann-Ga;2022;Computer;35;In this study, a multivocal literature review identified 15 software-engineering design patterns for machine learning applications. Findings suggest that there are opportunities to increase the patter
Scopus;Naming the Pain in machine learning-enabled systems engineering;Kalinowski, M. and Mendez, Daniel and Giray, Görkem and Sant;2025;Information and Software Technology;35;Context: Machine learning (ML)-enabled systems are being increasingly adopted by companies aiming to enhance their products and operational processes. Objective: This paper aims to deliver a comprehen
Scopus;Automation in Construction (2000–2023): Science Mapping and Visualization of Jou;Marzouk, Mohamed M. and Bin Mahmoud, Abdulrahman A. and Al-G;2025;Buildings;35;This paper presents a scientometric review that provides a quantitative perspective on the evolution of Automation in Construction Journal (AICJ) research, emphasizing its developmental paths and emer
Scopus;Challenges of Integrating Artificial Intelligence in Software Project Planning: ;Mohammad, Abdulghafour and Chirchir, Brian;2024;Digital;35;Artificial intelligence (AI) has helped enhance the management of software development projects through automation, improving efficiency and enabling project professionals to focus on strategic aspect
Scopus;Automobile insurance fraud detection using data mining: A systematic literature ;Schrijver, Gilian and Sarmah, Dipti Kapoor and el-Hajj, Moha;2024;Intelligent Systems with Applications;35;Insurance is a pivotal element in modern society, but insurers face a persistent challenge from fraudulent behaviour performed by policyholders. This behaviour could be detrimental to both insurance c
Scopus;Enhancing Secure Development in Globally Distributed Software Product Lines: A M;Iqbal, Marya and Hafeez, Yasir and Almashfi, Nabil and Alsir;2024;Computers, Materials and Continua;35;Embracing software product lines (SPLs) is pivotal in the dynamic landscape of contemporary software development. However, the flexibility and global distribution inherent in modern systems pose signi
Scopus;A TDD Framework for Automated Monitoring in Internet of Things with Machine Lear;Hayashi, Victor Takashi and Ruggiero, Wilson Vicente and Est;2022;Sensors;35;Robust, fault tolerant, and available systems are fundamental for the adoption of Internet of Things (IoT) in critical domains, such as finance, health, and safety. The IoT infrastructure is often use
Scopus;Systematic Mapping: Artificial Intelligence Techniques in Software Engineering;Sofian, Hazrina and Md Yunus, Nur Arzilawati and Binti Ahmad;2022;IEEE Access;35;Artificial Intelligence (AI) has become a core feature of today's real-world applications, making it a trending topic within the software engineering (SE) community. The rise in the availability of AI
IEEE;An Extended Survey Concerning the Significance of Artificial Intelligence and Ma;Bocu, Razvan and Baicoianu, Alexandra and Kerestely, Arpad;2023;IEEE Access;30;Bug reports are generated in large numbers during the software development processes in the software industry. The manual processing of these issues is usually time consuming and prone to errors, cons
Scopus;AI in software programming: understanding emotional responses to GitHub Copilot;Eshraghian, Farjam and Hafezieh, Najmeh and Farivar, Farveh ;2025;Information Technology and People;30;Purpose: The applications of Artificial Intelligence (AI) in various areas of professional and knowledge work are growing. Emotions play an important role in how users incorporate a technology into th
Scopus;Risk management in the era of data-centric engineering;Di Francesco, Domenic;2025;Data-Centric Engineering;30;Novel methods of data collection and analysis can enhance traditional risk management practices that rely on expert engineering judgment and established safety records, specifically when key condition
Scopus;Automated detection, categorisation and developers’ experience with the violatio;Obie, Humphrey O. and Du, Hung and Madampe, Kashumi and Shah;2023;Empirical Software Engineering;30;Human values such as honesty, social responsibility, fairness, privacy, and the like are things considered important by individuals and society. Software systems, including mobile software application
Scopus;Requirements practices and gaps when engineering human-centered Artificial Intel;Ahmad, Khlood and Abdelrazek, Mohamed Almorsy and Arora, Che;2023;Applied Soft Computing;30;Context: Engineering Artificial Intelligence (AI) software is a relatively new area with many challenges, unknowns, and limited proven best practices. Big companies such as Google, Microsoft, and Appl
Scopus;Swarm intelligence-based model for improving prediction performance of low-expec;Al-Ahmad, Bilal I. and Al-Zoubi, Ala’ M. and Kabir, Md Faisa;2022;PeerJ Computer Science;30;Software engineering is one of the most significant areas, which extensively used in educational and industrial fields. Software engineering education plays an essential role in keeping students up to
Scopus;On misbehaviour and fault tolerance in machine learning systems;Myllyaho, Lalli and Raatikainen, Mikko and Männistö, Tomi an;2022;Journal of Systems and Software;30;Machine learning (ML) provides us with numerous opportunities, allowing ML systems to adapt to new situations and contexts. At the same time, this adaptability raises uncertainties concerning the run-
IEEE;Exploring the Landscape of Programming Language Identification With Machine Lear;Verma, Amandeep and Saha, Rahul and Kumar, Gulshan and Brigh;2025;IEEE Access;25;The increasing complexity of modern software development necessitates tools and methodologies for code analysis, maintenance, and migration in multi-language Integrated Development Environments (IDEs)
IEEE;2022 IEEE/ACM 1st International Workshop on Software Engineering for Responsible;Kolltveit, Ask Berstad and Li, Jingyue;2022;2022 IEEE/ACM 1st International Workshop on Softwa;25;Deploying machine learning (ML) models to production with the same level of rigor and automation as traditional software systems has shown itself to be a non-trivial task, requiring extra care and inf
IEEE;2022 IEEE/ACM 4th International Workshop on Software Engineering Research and Pr;Gopalakrishna, Nikhil Krishna and Anandayuvaraj, Dharun and ;2022;2022 IEEE/ACM 4th International Workshop on Softwa;25;The latest generation of IoT systems incorporate machine learning (ML) technologies on edge devices. This introduces new engineering challenges to bring ML onto resource-constrained hardware, and comp
Scopus;Comprehensive Bibliographic Survey and Forward-Looking Recommendations for Softw;Mustaqeem, Mohd and Alam, Mahfooz and Mustajab, Suhel and Al;2025;IEEE Access;25;The development of reliable software depends heavily on the effective collaboration between teams responsible for development and testing. Despite ongoing efforts, many software programs still contain
Scopus;Enjoy your observability: an industrial survey of microservice tracing and analy;Li, Bowen and Peng, Xin and Xiang, Qilin and Wang, Hanzhang ;2022;Empirical Software Engineering;25;Microservice systems are often deployed in complex cloud-based environments and may involve a large number of service instances being dynamically created and destroyed. It is thus essential to ensure 
IEEE;Bridging Precision and Complexity: A Novel Machine Learning Approach for Ambigui;Izhar, Rahat and Bhatti, Shahid N. and Alharthi, Sultan A.;2025;IEEE Access;20;Ambiguity in software requirements is a significant challenge as it often leads to misunderstandings, implementation errors, and costly project delays. This research proposes a hybrid framework that c
Scopus;Examining the impact of bias mitigation algorithms on the sustainability of ML-e;De Martino, Vincenzo and Voria, Gianmario and Troiano, Ciro ;2025;Journal of Systems and Software;20;Context: As machine learning (ML) systems become increasingly prevalent across various industries, concerns regarding fairness have intensified. Bias mitigation algorithms—that aim to reduce bias in M
Scopus;PREDICTION OF SOFTWARE ANOMALIES METHODS BASED ON ENSEMBLE LEARNING METHODS;Hasan, Raghda Azad and Saleh, Ibrahim Ahmed;2025;Kufa Journal of Engineering;20;Software plays a vital role in all aspects of our daily lives, specifically in the fields of medicine and industry. In order to design high-quality and reliable software and avoid risks resulting from
Scopus;What Gets Measured Gets Improved: Monitoring Machine Learning Applications in Th;Protschky, Dominik and Lammermann, Luis and Hofmann, Peter a;2025;IEEE Access;20;Machine learning (ML) applications face many new, hardly predictable aspects in their production environments. Detecting new aspects in an ML production environment and understanding their impacts on 
Scopus;Overview of Artificial Intelligence Application Methods in Software Development;Burachynskyi, Andrii and Shantyr, Anton;2025;Informatica (Slovenia);20;The study aimed to analyse modern approaches to the integration of artificial intelligence into the software development process to optimise workflows and improve the quality of end products. The stud
Scopus;Quality assurance strategies for machine learning applications in big data analy;Ogrizović, Mihajlo and Drašković, Dražen D. and Bojić, Draga;2024;Journal of Big Data;20;Machine learning (ML) models have gained significant attention in a variety of applications, from computer vision to natural language processing, and are almost always based on big data. There are a g
Scopus;An architecture for model-based and intelligent automation in DevOps;Eramo, Romina and Said, Bilal and Oriol, Marc and Bruneliere;2024;Journal of Systems and Software;20;The increasing complexity of modern systems poses numerous challenges at all stages of system development and operation. Continuous software and system engineering processes, e.g., DevOps, are increas
Scopus;Intelligent Learning-Based Methods for Determining the Ideal Team Size in Agile ;Olivares, Rodrigo and Noel, Rene Alejandro and Guzmán, Sebas;2024;Biomimetics;20;One of the significant challenges in scaling agile software development is organizing software development teams to ensure effective communication among members while equipping them with the capabilit
Scopus;Model driven engineering for machine learning components: A systematic literatur;Naveed, Hira and Arora, Chetan and Khalajzadeh, Hourieh and ;2024;Information and Software Technology;20;Context: Machine Learning (ML) has become widely adopted as a component in many modern software applications. Due to the large volumes of data available, organizations want to increasingly leverage th
Scopus;The Impact of Resource Allocation on the Machine Learning Lifecycle: Bridging th;Duda, Sebastian and Hofmann, Peter and Urbach, Nils and Völt;2024;Business and Information Systems Engineering;20;An organization’s ability to develop Machine Learning (ML) applications depends on its available resource base. Without awareness and understanding of all relevant resources as well as their impact on
Scopus;Implementing and Evaluating Automated Bug Triage in Industrial Projects;Hong, Hyun-taek and Wang, Daesung and Kim, Sejin and Sung, H;2024;IEEE Access;20;Resolving bugs on time is essential for software development and is critical in industrial projects because it directly affects businesses. Automatic bug triage has been investigated to increase softw
Scopus;An Extended Survey Concerning the Significance of Artificial Intelligence and Ma;Bocu, Rǎzvan and Baicoianu, Alexandra and Kerestely, Arpad;2023;IEEE Access;20;Bug reports are generated in large numbers during the software development processes in the software industry. The manual processing of these issues is usually time consuming and prone to errors, cons
Scopus;An Intelligent Framework for Estimating Software Development Projects using Mach;Srivastava, Prateek and Srivastava, Nidhi and Agrawal, Rashi;2023;International Journal on Recent and Innovation Tre;15;The IT industry has faced many challenges related to software effort and cost estimation. A cost assessment is conducted after software effort estimation, which benefits customers as well as developer
IEEE;Assessing GitHub Copilot in Solidity Development: Capabilities, Testing, and Bug;Baralla, Gavina and Ibba, Giacomo and Tonelli, Roberto;2024;IEEE Access;10;In the rapidly evolving landscape of blockchain technology, the development of reliable and secure smart contracts represents one of several crucial challenges. GitHub Copilot, an AI-powered code assi
IEEE;Review and Empirical Analysis of Machine Learning-Based Software Effort Estimati;Rahman, Mizanur and Sarwar, Hasan and Kader, MD. Abdul and G;2024;IEEE Access;10;The average software company spends a huge amount of its revenue on Research and Development (R&D) for how to deliver software on time. Accurate software effort estimation is critical for successful p
IEEE;Improved Software Effort Estimation Through Machine Learning: Challenges, Applic;Terlapu, Panduranga Vital and Raju, Kalidindi Kishore and Ki;2024;IEEE Access;10;Effort estimations are a crucial aspect of software development. The tasks should be completed before the start of any software project. Accurate estimations increase the chances of project success, a
IEEE;Machine Learning Approaches to Code Similarity Measurement: A Systematic Review;Zhang, Zixian and Saber, Takfarinas;2025;IEEE Access;10;Source code similarity measurement, which involves assessing the degree of difference between code segments, plays a crucial role in various aspects of the software development cycle. These include bu
IEEE;Defect Detection and Correction in OpenMP: A Static Analysis and Machine Learnin;Al-Johany, Norah A. and Eassa, Fathy E. and Sharaf, Sanaa A.;2025;IEEE Access;10;Concurrency defects such as race conditions, deadlocks, and improper synchronization remain a critical challenge in developing reliable OpenMP-based parallel applications. Traditional static analysis 
Scopus;Using Machine Learning to Detect Vault (Anti-Forensic) Apps;Johnstone, Michael N. and Yang, Wencheng and Ahmed, Mohiuddi;2025;Future Internet;10;Content hiding, or vault applications (apps), are designed with a secondary, often concealed purpose, such as encrypting and storing files. While these apps may serve legitimate functions, they unequi
Scopus;An Efficient Methodology for the Categorization of Software Requirements Using N;Izhar, Rahat and Cosh, Kenneth J. and Ramingwon, Lachana and;2025;IEEE Access;10;The classification of software requirements into functional (FRs) and non-functional requirements (NFRs) is indispensable for the efficacious implementation of software systems. Traditionally, this en
Scopus;Irrigation with Artificial Intelligence: Problems, Premises, Promises;Wei, Hanyu and Xu, Wen and Kang, Byeong and Eisner, Rowan an;2024;Human-Centric Intelligent Systems;10;Protagonists allege that artificial intelligence (AI) is revolutionising contemporaneous mindscapes. Here, we authoritatively review the status quo of AI and machine learning application in irrigated 
Scopus;Integrating Observability with DevOps Practices in Financial Services Technologi;Mahida, Ankur Harendrasinh;2024;International Journal of Advanced Computer Science;10;The finance market closely depends on translation and high-quality software solutions when performing crucial transactions and processing important information and customer services. Thus, systems’ re
Scopus;Digital Transformation in the Public Administrations: A Guided Tour for Computer;Ciancarini, Paolo and Giancarlo, Raffaele and Grimaudo, Genn;2024;IEEE Access;10;The goal of Digital Transformation of the Public Sector is the achievement of a better quality of life for citizens, via a more responsive and transparent administration and governance. By now it is c
Scopus;An integration engineering framework for machine learning in healthcare;Assadi, Azadeh and Laussen, Peter C. and Goodwin, Andrew Jam;2022;Frontiers in Digital Health;10;Background and Objectives: Machine Learning offers opportunities to improve patient outcomes, team performance, and reduce healthcare costs. Yet only a small fraction of all Machine Learning models fo
Scopus;GELAB - The Cutting Edge of Grammatical Evolution;Gupt, Krishn Kumar and Youssef, Ayman and Murphy, Aidan and ;2022;IEEE Access;10;The advent of cloud-based super-computing platforms has given rise to a Data Science (DS) boom. Many types of technological problems that were once considered prohibitively expensive to tackle are now
Scopus;The pipeline for the continuous development of artificial intelligence models—Cu;Steidl, Monika and Felderer, Michael and Ramler, Rudolf;2023;Journal of Systems and Software;5;Companies struggle to continuously develop and deploy Artificial Intelligence (AI) models to complex production systems due to AI characteristics while assuring quality. To ease the development proces
Scopus;Requests classification in the customer service area for software companies usin;Arias-Barahona, María Ximena and Arteaga-Arteaga, Harold Bra;2023;PeerJ Computer Science;5;Artificial intelligence (AI) is one of the components recognized for its potential to transform the way we live today radically. It makes it possible for machines to learn from experience, adjust to n
Scopus;A step toward building a unified framework for managing AI bias;Rana, Saadia Afzal and Azizul, Zati Hakim and Awan, Ali Afza;2023;PeerJ Computer Science;5;Integrating artificial intelligence (AI) has transformed living standards. However, AI’s efforts are being thwarted by concerns about the rise of biases and unfairness. The problem advocates strongly 
Scopus;Towards a better blockchainification of supply chain applications;Mazumdar, Somnath;2022;Systems and Soft Computing;0;A supply chain ecosystem is a collection of complex asynchronous events. Blockchain has already found commercial applications in the SC domain, particularly in product tracing and verification. Howeve
Scopus;Risk Prediction Applied to Global Software Development using Machine Learning Me;Hassan, Hossam and Abdel-Fattah, Manal A. and Ghoneim, Amr S;2022;International Journal of Advanced Computer Science;0;Software companies aim to develop high-quality software projects with the best global resources at the best cost. To achieve this global software development (GSD), an approach should be used which ad
Scopus;Toward Improving the Efficiency of Software Development Effort Estimation via Cl;Hai, Vo Van and Thi Kim Nhung, Ho Le and Prokopová, Zdenka a;2022;IEEE Access;0;Introduction: The precise estimation of software effort is a significant difficulty that project managers encounter during software development. Inaccurate forecasting leads to either overestimating o
