source;doi;titulo;autores;año;venue;crit_1_ai_ml;crit_2_se_context;crit_3_empirical;crit_4_organizational;score;razon_decision;nota_rayyan
IEEE Xplore;10904141;Exploring the Integration of Generative AI Tools in Software Testing Education: A Case Study on ChatGPT and Copilot for Preparatory Testing Artifacts in Postgraduate Learning;Haldar, Susmita and Pierce, Mary and Fernando Capretz, Luiz;2025;IEEE Access;Sí;Sí;Sí;Sí;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: Sí
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
IEEE Xplore;10735191;Assessing GitHub Copilot in Solidity Development: Capabilities, Testing, and Bug Fixing;Baralla, Gavina and Ibba, Giacomo and Tonelli, Roberto;2024;IEEE Access;Sí;Sí;Sí;Sí;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: Sí
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
IEEE Xplore;10646341;VSEST 29110 Tool: Using ChatGPT to Evaluate the Implementation of the ISO/IEC 29110 Work Products;Mejía, Jezreel and Terrón-Macias, Victor and Muñoz, Mirna and Terrón-Hernández, ;2024;IEEE Access;Sí;Sí;Sí;Sí;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: Sí
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
IEEE Xplore;10548766;2024 IEEE/ACM 46th International Conference on Software Engineering (ICSE);Dolata, Mateusz and Lange, Norbert and Schwabe, Gerhard;2024;2024 IEEE/ACM 46th International Conference on Software Engineering (ICSE);Sí;Sí;Sí;Sí;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: Sí
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
IEEE Xplore;10812696;Cypress Copilot: Development of an AI Assistant for Boosting Productivity and Transforming Web Application Testing;Nettur, Suresh Babu and Karpurapu, Shanthi and Nettur, Unnati and Gajja, Likhit ;2025;IEEE Access;Sí;Sí;Sí;No;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: No
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
IEEE Xplore;10870152;Analysis of ChatGPT-Generated Codes Across Multiple Programming Languages;Almanasra, Sally and Suwais, Khaled;2025;IEEE Access;Sí;Sí;Sí;No;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: No
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
IEEE Xplore;10647145;2024 IEEE/ACM International Workshop on Natural Language-Based Software Engineering (NLBSE);Shome, Arumoy and Cruz, Luìs and Van Deursen, Arie;2024;2024 IEEE/ACM International Workshop on Natural Language-Based Software Engineering (NLBSE);Sí;Sí;Sí;Sí;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: Sí
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
IEEE Xplore;11218044;Preconditions and Postconditions as Design Constraints for LLM Code Generation;Newcomb, Luke and Newcomb, Alexandra and Ochoa, Omar;2025;IEEE Access;Sí;Sí;Sí;Sí;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: Sí
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
IEEE Xplore;10727139;2024 IEEE/ACM 46th International Conference on Software Engineering: New Ideas and Emerging Results (ICSE-NIER);Mishra, Shyamal and Chatterjee, Preetha;2024;2024 IEEE/ACM 46th International Conference on Software Engineering: New Ideas and Emerging Results (ICSE-NIER);Sí;Sí;Sí;Sí;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: Sí
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
IEEE Xplore;10549231;2024 IEEE/ACM 46th International Conference on Software Engineering (ICSE);Serafini, Raphael and Otto, Clemens and Horstmann, Stefan Albert and Naiakshina,;2024;2024 IEEE/ACM 46th International Conference on Software Engineering (ICSE);Sí;Sí;Sí;Sí;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: Sí
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
IEEE Xplore;9568959;A Literature Review of Using Machine Learning in Software Development Life Cycle Stages;Shafiq, Saad and Mashkoor, Atif and Mayr-Dorn, Christoph and Egyed, Alexander;2021;IEEE Access;Sí;Sí;Sí;No;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: No
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
IEEE Xplore;11269792;Analyzing LLM-Generated Code According to Four ISO/IEC 5055:2021 Categories;Krebs, Rasmus and Mazumdar, Somnath;2025;IEEE Access;Sí;Sí;Sí;No;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: No
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
IEEE Xplore;10179899;Requirements Engineering in Machine Learning Projects;Gjorgjevikj, Ana and Mishev, Kostadin and Antovski, Ljupcho and Trajanov, Dimita;2023;IEEE Access;Sí;Sí;Sí;Sí;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: Sí
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
IEEE Xplore;9388660;CaPBug-A Framework for Automatic Bug Categorization and Prioritization Using NLP and Machine Learning Algorithms;Ahmed, Hafiza Anisa and Bawany, Narmeen Zakaria and Shamsi, Jawwad Ahmed;2021;IEEE Access;Sí;Sí;No;Sí;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: No
¿Aborda adopción, competencias, prácticas u organizacional?: Sí
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
IEEE Xplore;10305170;An Extended Survey Concerning the Significance of Artificial Intelligence and Machine Learning Techniques for Bug Triage and Management;Bocu, Razvan and Baicoianu, Alexandra and Kerestely, Arpad;2023;IEEE Access;Sí;Sí;Sí;Sí;No;Criterios de exclusión: duplicate;"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: Sí
Decisión: No
Razón: Criterios de exclusión: duplicate"
IEEE Xplore;10870104;Exploring the Landscape of Programming Language Identification With Machine Learning Approaches;Verma, Amandeep and Saha, Rahul and Kumar, Gulshan and Brighente, Alessandro and;2025;IEEE Access;Sí;Sí;Sí;Sí;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: Sí
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
IEEE Xplore;10538131;Review and Empirical Analysis of Machine Learning-Based Software Effort Estimation;Rahman, Mizanur and Sarwar, Hasan and Kader, MD. Abdul and Gonçalves, Teresa and;2024;IEEE Access;Sí;Sí;Sí;No;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: No
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
IEEE Xplore;9808768;2022 IEEE/ACM 1st International Workshop on Software Engineering for Responsible Artificial Intelligence (SE4RAI);Kolltveit, Ask Berstad and Li, Jingyue;2022;2022 IEEE/ACM 1st International Workshop on Software Engineering for Responsible Artificial Intelligence (SE4RAI);Sí;Sí;Sí;Sí;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: Sí
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
IEEE Xplore;9826168;2022 IEEE/ACM 4th International Workshop on Software Engineering Research and Practices for the IoT (SERP4IoT);Gopalakrishna, Nikhil Krishna and Anandayuvaraj, Dharun and Detti, Annan and Bla;2022;2022 IEEE/ACM 4th International Workshop on Software Engineering Research and Practices for the IoT (SERP4IoT);Sí;Sí;Sí;Sí;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: Sí
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
IEEE Xplore;10677006;Improved Software Effort Estimation Through Machine Learning: Challenges, Applications, and Feature Importance Analysis;Terlapu, Panduranga Vital and Raju, Kalidindi Kishore and Kiran Kumar, G. and Ja;2024;IEEE Access;Sí;Sí;Sí;No;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: No
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
IEEE Xplore;10843220;Bridging Precision and Complexity: A Novel Machine Learning Approach for Ambiguity Detection in Software Requirements;Izhar, Rahat and Bhatti, Shahid N. and Alharthi, Sultan A.;2025;IEEE Access;Sí;Sí;Sí;Sí;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: Sí
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
IEEE Xplore;10741285;Test Suite Optimization Using Machine Learning Techniques: A Comprehensive Study;Mehmood, Abid and Ilyas, Qazi Mudassar and Ahmad, Muneer and Shi, Zhongliang;2024;IEEE Access;Sí;Sí;Sí;No;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: No
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
IEEE Xplore;9734272;Software-Engineering Design Patterns for Machine Learning Applications;Washizaki, Hironori and Khomh, Foutse and Guéhéneuc, Yann-Gaël and Takeuchi, Hir;2022;Computer;Sí;Sí;Sí;Sí;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: Sí
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
IEEE Xplore;10175526;Effective Software Effort Estimation Leveraging Machine Learning for Digital Transformation;Jadhav, Akshay and Shandilya, Shishir Kumar and Izonin, Ivan and Gregus, Michal;2023;IEEE Access;Sí;Sí;Sí;Sí;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: Sí
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
IEEE Xplore;9590539;Machine Learning Based Embedded Code Multi-Label Classification;Zhou, Yu and Cui, Suxia and Wang, Yonghui;2021;IEEE Access;Sí;Sí;Sí;No;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: No
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
IEEE Xplore;9328431;Identifying Non-Functional Requirements From Unconstrained Documents Using Natural Language Processing and Machine Learning Approaches;Shreda, Qais A. and Hanani, Abualsoud A.;2025;IEEE Access;Sí;Sí;Sí;No;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: No
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
IEEE Xplore;10935309;Machine Learning Approaches to Code Similarity Measurement: A Systematic Review;Zhang, Zixian and Saber, Takfarinas;2025;IEEE Access;Sí;Sí;Sí;No;No;Criterios de exclusión: pure_theory;"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: No
Decisión: No
Razón: Criterios de exclusión: pure_theory"
IEEE Xplore;11082155;Defect Detection and Correction in OpenMP: A Static Analysis and Machine Learning-Based Solution;Al-Johany, Norah A. and Eassa, Fathy E. and Sharaf, Sanaa A. and Balkhair, Eynas;2025;IEEE Access;Sí;Sí;Sí;No;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: No
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
IEEE Xplore;11106424;Leveraging Machine Learning for Enhanced Bug Triaging in Open-Source Software Projects;Adhikari, Nitanta and Bista, Rabindra and Ferreira, João Carlos;2025;IEEE Access;Sí;Sí;Sí;Sí;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: Sí
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
Scopus;Ali2025;Cloud-based machine learning for scalable classification of software requirements: Insights from the PROMISE dataset;Ali, Hashim and Tanveer, Umer and Saeed, Amir and Khalid Alkahtani, Hend Khalid ;2025;Systems and Soft Computing;Sí;Sí;Sí;Sí;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: Sí
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
Scopus;Robredo2025;Evaluating time-dependent methods and seasonal effects in code technical debt prediction;Robredo, Mikel and Saarimäki, Nyyti and Esposito, Matteo and Taibi, Davide and P;2025;Journal of Systems and Software;Sí;Sí;Sí;No;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: No
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
Scopus;Aghilar2025;Training-free, Identity-preserving Image Editing for Fashion Pose Alignment and Normalization;Aghilar, Potito and Anelli, Vito Walter and Trizio, Michelantonio and Di Sciasci;2025;Expert Systems with Applications;Sí;Sí;No;Sí;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: No
¿Aborda adopción, competencias, prácticas u organizacional?: Sí
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
Scopus;De Martino2025;Examining the impact of bias mitigation algorithms on the sustainability of ML-enabled systems: A benchmark study;De Martino, Vincenzo and Voria, Gianmario and Troiano, Ciro and Catolino, Gemma ;2025;Journal of Systems and Software;Sí;Sí;Sí;Sí;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: Sí
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
Scopus;Stradowski2025;“Your AI is impressive, but my code does not have any bugs” managing false positives in industrial contexts;Stradowski, Szymon and Madeyski, Lech;2025;Science of Computer Programming;Sí;Sí;Sí;Sí;No;Criterios de exclusión: editorial;"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: Sí
Decisión: No
Razón: Criterios de exclusión: editorial"
Scopus;Kalinowski2025;Naming the Pain in machine learning-enabled systems engineering;Kalinowski, M. and Mendez, Daniel and Giray, Görkem and Santos Alves, Antonio Pe;2025;Information and Software Technology;Sí;Sí;Sí;Sí;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: Sí
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
Scopus;Alami2025;Accountability in Code Review: The Role of Intrinsic Drivers and the Impact of LLMs;Alami, Adam and Jensen, Victor Vadmand and Ernst, Neil A.;2025;ACM Transactions on Software Engineering and Methodology;Sí;Sí;Sí;Sí;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: Sí
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
Scopus;Jalali2025;Securing social network user data in large language model deployments: challenges and best practices;Jalali, Nasir Ahmad and Hongsong, Chen;2025;Cluster Computing;Sí;Sí;Sí;Sí;No;Criterios de exclusión: medical_healthcare;"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: Sí
Decisión: No
Razón: Criterios de exclusión: medical_healthcare"
Scopus;Kemell2025;Still just personal assistants? – A multiple case study of generative AI adoption in software organizations;Kemell, Kai Kristian and Saarikallio, Matti and Nguyen-Duc, Anh and Abrahamsson,;2025;Information and Software Technology;Sí;Sí;Sí;Sí;No;Criterios de exclusión: editorial;"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: Sí
Decisión: No
Razón: Criterios de exclusión: editorial"
Scopus;Kelmendi2025;AI-Driven Optimization of Functional Feature Placement in Automotive CAD;Kelmendi, Ardian and Pappas, George;2025;Algorithms;Sí;No;Sí;No;Incierto;Cumple parcialmente (2/4 criterios);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: No
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: No
Decisión: Incierto
Razón: Cumple parcialmente (2/4 criterios)"
Scopus;Marzouk2025;Automation in Construction (2000–2023): Science Mapping and Visualization of Journal Publications;Marzouk, Mohamed M. and Bin Mahmoud, Abdulrahman A. and Al-Gahtani, Khalid S. an;2025;Buildings;Sí;No;Sí;Sí;No;Criterios de exclusión: editorial;"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: No
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: Sí
Decisión: No
Razón: Criterios de exclusión: editorial"
Scopus;Yang2025;RAGVA: Engineering retrieval augmented generation-based virtual assistants in practice;Yang, Rui and Fu, Michael and Tantithamthavorn, Kla (kla) and Arora, Chetan and ;2025;Journal of Systems and Software;Sí;Sí;Sí;Sí;Sí;Cumple con criterios de inclusión (≥3/4);"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: Sí
¿Aborda adopción, competencias, prácticas u organizacional?: Sí
Decisión: Sí
Razón: Cumple con criterios de inclusión (≥3/4)"
Scopus;Hasan2025639;PREDICTION OF SOFTWARE ANOMALIES METHODS BASED ON ENSEMBLE LEARNING METHODS;Hasan, Raghda Azad and Saleh, Ibrahim Ahmed;2025;Kufa Journal of Engineering;Sí;Sí;No;No;Sí;Cumple con AI+SE + 1 criterio adicional;"[SCREENING] 2025-12-16
¿Menciona IA/ML/Generative AI explícitamente?: Sí
¿Contexto es software development/engineering?: Sí
¿Hay evidencia empírica (estudio, caso, survey)?: No
¿Aborda adopción, competencias, prácticas u organizacional?: No
Decisión: Sí
Razón: Cumple con AI+SE + 1 criterio adicional"
